@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Standardize-unset-class-temporarily-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0

@attribute magnitud1 numeric
@attribute magnitud2 numeric
@attribute magnitud3 numeric
@attribute magnitud4 numeric
@attribute magnitud5 numeric
@attribute class {QSO,WDA,WDB}

@data
19.573,19.078,19.062,19.010,18.854,QSO
21.077,20.177,19.532,19.185,18.632,QSO
19.197,19.242,19.339,18.932,19.021,QSO
19.944,19.456,19.014,18.888,18.687,QSO
18.629,18.611,18.283,18.328,18.457,QSO
18.200,18.061,17.986,18.036,17.994,QSO
20.066,20.072,19.959,19.882,19.669,QSO
18.607,18.445,18.052,17.605,17.566,QSO
19.514,19.395,19.397,19.107,19.103,QSO
19.908,19.235,18.930,18.735,18.474,QSO
19.592,19.467,19.280,19.015,18.757,QSO
19.973,19.654,19.270,19.145,19.174,QSO
19.029,19.044,19.038,18.975,18.670,QSO
19.201,19.112,18.898,18.917,18.874,QSO
18.739,18.522,18.156,18.144,18.102,QSO
19.040,18.933,18.854,18.675,18.598,QSO
19.320,18.919,18.805,18.736,18.681,QSO
19.420,19.058,18.599,18.752,18.894,QSO
19.383,19.071,18.740,18.430,18.056,QSO
19.564,18.975,18.990,18.994,18.762,QSO
19.896,19.501,19.368,19.141,19.050,QSO
19.406,19.389,19.041,19.070,19.155,QSO
20.377,19.955,19.661,19.229,18.727,QSO
18.963,18.447,18.473,18.356,18.144,QSO
22.469,21.165,20.426,20.113,19.510,QSO
19.183,18.906,18.210,17.714,17.594,QSO
19.686,19.331,19.207,19.287,19.159,QSO
18.180,17.700,17.634,17.519,17.225,QSO
19.138,18.980,18.728,18.818,18.872,QSO
20.665,19.577,18.572,18.038,17.769,QSO
18.305,18.110,17.941,17.882,17.582,QSO
20.147,19.228,18.977,18.935,18.854,QSO
19.775,19.669,19.553,19.496,19.276,QSO
19.044,18.737,18.813,18.652,18.591,QSO
19.718,19.649,19.474,19.344,19.267,QSO
19.400,19.428,19.086,18.887,18.406,QSO
19.609,19.429,19.377,19.037,18.934,QSO
19.344,19.075,18.626,18.708,18.877,QSO
19.086,18.918,18.750,18.459,18.494,QSO
19.945,19.289,19.175,19.106,18.945,QSO
23.127,21.039,19.331,18.219,17.622,QSO
19.760,19.658,19.584,19.567,19.453,QSO
18.096,17.807,17.808,17.648,17.479,QSO
19.124,19.011,18.667,18.541,18.489,QSO
22.872,20.589,20.409,20.193,20.239,QSO
19.528,19.656,19.294,19.166,19.114,QSO
19.433,18.909,18.435,18.332,18.283,QSO
18.396,18.193,17.901,17.851,17.872,QSO
18.939,18.641,18.356,18.266,18.224,QSO
20.030,18.855,18.702,18.600,18.493,QSO
19.282,18.970,19.142,18.997,19.097,QSO
21.883,20.825,20.111,19.804,19.225,QSO
19.497,18.929,18.769,18.541,18.519,QSO
18.658,18.522,18.450,18.350,18.242,QSO
18.980,18.814,18.828,18.712,18.537,QSO
19.003,18.788,18.796,18.869,18.753,QSO
19.593,19.538,19.649,19.419,19.241,QSO
19.240,19.084,19.150,18.899,18.909,QSO
18.534,18.385,18.278,18.198,18.219,QSO
19.346,18.832,18.697,18.667,18.451,QSO
24.504,21.588,19.989,18.972,18.815,QSO
19.745,19.134,18.917,18.762,18.527,QSO
19.170,18.895,18.839,18.660,18.544,QSO
19.536,19.154,19.134,18.938,19.098,QSO
18.740,18.674,18.602,18.588,18.110,QSO
19.580,19.134,19.095,18.912,18.882,QSO
18.150,17.755,17.480,17.158,16.895,QSO
19.724,19.375,19.331,19.088,18.738,QSO
25.216,21.772,20.292,20.066,19.953,QSO
19.191,18.518,18.113,18.107,18.316,QSO
25.436,20.682,19.571,19.448,19.522,QSO
19.097,19.157,19.196,18.835,18.730,QSO
20.025,19.951,19.939,19.693,20.079,QSO
18.084,17.564,17.452,17.328,17.145,QSO
23.843,21.781,20.330,20.291,20.183,QSO
20.832,20.519,20.216,20.193,19.857,QSO
22.020,21.136,20.642,20.075,19.995,QSO
19.386,19.153,18.886,18.754,18.401,QSO
19.560,19.479,19.083,19.089,19.139,QSO
20.055,19.934,20.048,19.722,19.695,QSO
17.537,17.331,17.277,17.067,17.079,QSO
19.638,19.306,19.129,19.134,18.914,QSO
19.563,19.145,19.003,18.939,18.684,QSO
18.945,18.733,18.428,18.423,18.445,QSO
19.284,19.168,19.111,18.855,18.856,QSO
19.405,19.304,18.991,19.129,19.062,QSO
19.559,19.445,19.162,19.116,19.088,QSO
19.908,19.568,19.432,19.515,19.413,QSO
18.647,18.505,18.265,18.180,17.596,QSO
19.071,18.797,18.800,18.595,18.069,QSO
18.149,18.106,17.900,17.768,17.728,QSO
23.745,21.284,19.577,19.368,19.246,QSO
19.294,19.203,18.958,18.973,18.937,QSO
19.047,18.771,18.383,18.217,18.306,QSO
19.605,19.361,19.081,19.243,19.084,QSO
18.407,18.031,17.764,17.698,17.317,QSO
20.225,19.943,19.585,19.589,19.649,QSO
18.857,18.536,18.549,18.388,18.441,QSO
19.791,19.574,19.511,19.334,19.298,QSO
17.690,17.488,17.643,17.505,17.565,QSO
25.172,21.792,20.047,20.040,19.904,QSO
21.270,18.973,18.447,18.067,18.116,QSO
18.478,18.355,18.331,18.144,18.216,QSO
19.416,19.320,19.014,19.123,18.989,QSO
19.172,18.855,18.604,18.495,18.554,QSO
19.514,19.245,18.937,18.904,19.032,QSO
20.601,19.707,19.169,18.953,18.552,QSO
18.779,18.561,18.491,18.492,18.235,QSO
18.636,18.649,18.603,18.477,18.349,QSO
19.180,18.828,18.472,18.129,17.796,QSO
19.418,19.124,18.735,18.771,18.772,QSO
19.647,19.443,19.346,19.079,19.141,QSO
18.910,18.897,18.432,18.411,18.403,QSO
18.383,18.166,17.993,17.984,18.145,QSO
19.198,19.229,19.197,19.007,18.784,QSO
19.315,19.031,18.697,18.696,18.635,QSO
19.685,19.030,18.860,18.807,18.576,QSO
19.310,19.324,19.279,19.061,18.854,QSO
19.259,19.181,18.953,18.913,18.898,QSO
18.860,18.907,18.745,18.573,18.359,QSO
19.524,19.171,18.935,18.728,18.304,QSO
20.843,20.171,19.791,19.566,19.277,QSO
17.984,18.066,17.869,17.838,17.282,QSO
19.897,19.585,19.469,19.315,19.005,QSO
21.513,20.949,20.258,19.894,20.084,QSO
20.051,19.688,19.280,19.190,19.052,QSO
20.850,19.436,19.325,19.320,19.076,QSO
19.632,19.476,19.217,19.233,19.554,QSO
18.231,18.145,17.933,17.911,17.952,QSO
20.901,19.996,19.114,18.798,18.248,QSO
18.899,18.686,18.594,18.410,18.344,QSO
19.189,19.123,18.967,19.101,18.976,QSO
19.593,19.449,19.317,19.123,18.920,QSO
18.941,18.872,18.866,18.538,18.493,QSO
18.572,18.159,17.777,17.509,17.202,QSO
23.611,20.619,19.441,19.288,19.211,QSO
19.165,18.938,18.858,18.868,18.649,QSO
19.513,19.395,19.185,18.993,18.928,QSO
20.098,18.601,18.377,18.239,18.187,QSO
20.354,20.124,20.103,19.902,19.775,QSO
17.224,16.980,16.856,16.877,16.995,QSO
23.269,19.172,18.967,18.938,18.870,QSO
20.412,19.818,19.365,19.186,18.794,QSO
19.946,20.060,20.046,19.975,19.573,QSO
19.169,18.936,18.870,18.880,18.812,QSO
19.704,19.412,19.148,18.978,19.052,QSO
18.846,18.475,18.185,17.871,17.721,QSO
18.915,18.493,18.513,18.353,18.320,QSO
19.833,19.707,19.277,19.069,18.912,QSO
17.884,17.565,17.653,17.519,17.401,QSO
20.458,20.378,20.411,20.066,19.787,QSO
17.311,16.927,16.704,16.731,16.891,QSO
19.520,19.196,19.308,19.066,18.988,QSO
19.190,18.827,18.551,18.523,18.345,QSO
18.973,18.654,18.547,18.412,18.454,QSO
17.025,16.800,16.731,16.890,16.806,QSO
19.427,19.139,19.038,18.928,18.652,QSO
19.902,19.561,19.345,18.975,18.798,QSO
19.315,19.006,18.753,18.689,18.608,QSO
18.139,18.342,17.983,17.924,17.999,QSO
20.154,20.196,20.117,19.862,19.579,QSO
18.049,18.035,18.001,17.756,17.664,QSO
19.488,19.397,19.018,18.990,18.255,QSO
22.427,19.899,19.648,19.536,19.527,QSO
18.729,18.426,18.401,18.385,18.265,QSO
19.864,19.694,19.512,19.174,19.152,QSO
19.325,19.257,19.205,19.140,18.986,QSO
21.714,19.565,19.261,19.233,19.152,QSO
20.511,19.944,19.366,19.206,18.926,QSO
19.243,19.071,18.944,19.009,18.866,QSO
19.083,19.061,18.749,18.649,18.722,QSO
20.404,19.068,19.093,19.044,18.984,QSO
20.936,18.597,17.783,17.721,17.618,QSO
19.180,19.134,19.040,18.743,18.779,QSO
19.922,19.499,19.286,19.163,18.967,QSO
18.788,18.659,18.364,18.363,18.441,QSO
19.588,19.235,19.139,18.968,18.949,QSO
19.940,19.607,19.321,19.237,19.212,QSO
18.845,18.690,18.658,18.465,18.585,QSO
19.591,19.132,18.806,18.688,18.501,QSO
19.512,19.510,19.182,19.221,19.099,QSO
21.555,20.323,19.343,19.044,18.747,QSO
18.771,17.940,17.356,17.025,16.922,QSO
19.513,19.432,19.110,19.057,19.289,QSO
19.682,19.701,19.367,19.349,19.434,QSO
19.356,19.245,19.032,18.873,18.855,QSO
22.638,21.404,20.676,20.068,19.705,QSO
19.928,19.933,19.602,19.606,19.423,QSO
19.165,18.906,18.840,18.967,18.810,QSO
20.085,19.898,19.765,19.739,19.559,QSO
20.003,19.549,19.053,18.741,18.166,QSO
19.161,19.034,18.685,18.532,18.478,QSO
20.267,19.392,18.878,18.409,17.947,QSO
22.043,19.594,19.131,18.852,18.677,QSO
18.731,18.567,18.427,18.244,18.257,QSO
19.050,18.750,18.197,18.038,18.014,QSO
23.092,22.395,19.995,19.617,19.157,QSO
19.579,19.443,19.359,19.044,19.094,QSO
19.873,19.579,19.374,19.035,18.861,QSO
19.287,18.994,18.924,18.766,18.928,QSO
25.284,20.637,19.902,19.567,19.645,QSO
19.464,19.012,18.741,18.749,18.759,QSO
19.411,19.022,18.841,18.880,18.655,QSO
20.366,19.924,19.112,18.827,18.711,QSO
19.293,19.214,18.958,18.974,18.946,QSO
19.004,18.784,18.693,18.662,18.495,QSO
17.834,17.799,17.839,17.527,17.338,QSO
18.714,18.696,18.486,18.258,18.043,QSO
19.982,19.279,18.852,18.710,18.032,QSO
18.861,18.481,18.496,18.621,18.549,QSO
18.095,17.850,17.696,17.638,17.607,QSO
19.343,19.120,18.921,18.889,18.819,QSO
18.953,18.658,18.807,18.481,18.270,QSO
21.311,18.446,18.081,17.991,17.966,QSO
19.547,19.389,19.336,19.145,19.173,QSO
18.465,18.394,18.162,18.182,18.323,QSO
19.812,19.168,18.553,18.431,18.214,QSO
19.238,19.253,19.091,19.071,19.048,QSO
19.550,19.465,19.153,19.117,19.164,QSO
19.042,18.685,18.609,18.469,18.284,QSO
19.653,19.644,19.477,19.175,19.176,QSO
18.945,18.848,18.496,18.461,18.423,QSO
17.411,17.272,17.120,17.199,16.846,QSO
20.861,20.563,20.148,20.106,19.856,QSO
18.919,18.674,18.625,18.540,18.500,QSO
19.138,18.648,18.521,18.512,18.445,QSO
19.360,19.188,19.011,18.922,18.735,QSO
19.548,19.257,19.028,18.794,18.786,QSO
18.263,18.225,17.911,17.934,17.976,QSO
18.178,17.779,17.633,17.567,17.414,QSO
19.605,19.564,19.476,19.210,19.189,QSO
21.820,21.087,20.519,20.278,19.319,QSO
18.326,18.364,18.218,17.831,17.873,QSO
17.380,17.290,17.149,17.234,16.811,QSO
18.999,18.516,18.111,18.279,18.105,QSO
19.348,19.206,18.789,18.647,18.613,QSO
19.279,19.135,18.921,18.915,18.867,QSO
18.692,18.359,18.237,18.320,18.111,QSO
19.075,18.925,18.798,18.826,18.683,QSO
19.851,19.661,19.419,19.140,19.066,QSO
19.246,19.130,19.264,18.913,18.961,QSO
20.200,20.040,19.489,19.291,19.369,QSO
23.672,20.341,20.084,20.073,19.996,QSO
20.123,20.110,19.775,19.543,19.711,QSO
19.287,19.108,18.944,18.861,18.593,QSO
25.172,23.108,20.754,19.861,19.179,QSO
18.565,18.474,18.305,18.351,18.335,QSO
18.149,17.930,17.886,17.661,17.606,QSO
18.618,18.466,18.201,18.116,18.126,QSO
18.894,18.465,18.437,18.242,18.326,QSO
21.255,19.108,18.678,18.559,18.477,QSO
19.569,19.512,19.438,19.191,19.176,QSO
19.048,18.939,18.690,18.754,18.828,QSO
19.690,19.581,19.263,19.314,19.431,QSO
19.552,19.577,19.288,19.208,18.695,QSO
19.928,19.330,18.727,18.412,18.120,QSO
19.689,19.080,19.061,19.087,18.732,QSO
19.832,19.420,18.998,18.894,18.949,QSO
18.649,18.588,18.544,18.294,18.186,QSO
20.231,19.809,20.026,19.685,19.858,QSO
20.271,20.112,20.004,19.782,19.669,QSO
20.023,19.811,19.419,19.361,19.352,QSO
18.696,18.540,18.341,18.294,18.385,QSO
19.844,19.617,19.061,18.897,18.911,QSO
19.252,18.984,18.928,18.988,18.871,QSO
19.247,19.223,19.117,18.807,18.870,QSO
20.340,20.383,20.211,20.047,20.376,QSO
18.954,18.898,18.818,18.551,18.450,QSO
19.290,19.070,19.088,18.880,18.812,QSO
17.780,17.507,17.208,17.194,17.158,QSO
25.041,23.201,21.273,19.682,19.607,QSO
18.804,18.563,18.476,18.263,18.203,QSO
15.687,15.771,15.787,15.368,15.574,QSO
19.002,18.704,18.484,18.389,18.417,QSO
19.275,19.142,19.018,18.832,18.637,QSO
20.661,19.997,19.592,19.134,19.030,QSO
18.910,18.512,18.333,18.236,18.034,QSO
19.593,19.599,19.568,19.261,19.112,QSO
18.629,18.546,18.254,18.128,18.198,QSO
19.185,18.738,18.559,18.405,18.383,QSO
20.707,20.320,20.278,20.132,20.015,QSO
18.091,18.018,17.713,17.687,17.849,QSO
19.484,19.456,19.239,19.203,19.279,QSO
19.910,19.582,19.367,19.320,19.198,QSO
19.829,19.484,19.417,19.257,18.985,QSO
21.331,19.851,19.525,19.282,19.059,QSO
18.898,18.724,18.685,18.799,18.734,QSO
19.150,19.309,19.161,19.109,19.285,QSO
18.623,17.886,17.342,17.135,16.928,QSO
18.907,18.807,18.532,18.455,18.542,QSO
19.185,19.157,18.972,19.087,19.228,QSO
19.680,19.226,19.076,18.882,18.868,QSO
19.033,18.508,18.388,18.133,18.116,QSO
18.839,18.293,18.191,18.100,18.002,QSO
19.201,18.899,18.814,18.940,18.955,QSO
19.481,19.255,19.166,18.952,18.808,QSO
19.438,19.229,18.793,18.795,18.937,QSO
19.180,18.855,18.831,18.779,18.411,QSO
18.971,18.761,18.538,18.284,18.248,QSO
18.271,17.984,17.788,17.745,17.770,QSO
19.329,19.028,18.933,18.714,18.711,QSO
19.134,18.988,18.756,18.501,18.370,QSO
19.450,19.213,19.128,19.003,18.700,QSO
18.748,18.216,18.112,18.243,18.081,QSO
17.630,17.334,17.488,17.373,17.535,QSO
19.732,19.128,18.858,18.828,18.671,QSO
20.531,20.706,20.725,20.410,20.255,QSO
21.274,20.038,19.410,19.066,18.799,QSO
18.966,18.903,18.791,18.805,18.813,QSO
25.613,22.015,20.203,19.723,19.560,QSO
19.665,19.534,19.486,19.244,19.172,QSO
19.414,19.128,19.076,19.073,18.910,QSO
26.380,23.707,21.294,20.150,19.798,QSO
19.301,19.176,19.039,18.954,18.767,QSO
20.153,19.174,19.001,18.672,18.394,QSO
18.407,18.061,17.922,17.732,17.545,QSO
19.995,19.529,19.354,19.151,19.222,QSO
20.005,19.669,19.412,19.391,19.179,QSO
19.774,19.169,19.233,19.071,18.964,QSO
18.632,18.452,18.424,18.180,18.114,QSO
20.179,19.610,19.362,18.982,18.889,QSO
18.689,18.618,18.488,18.249,18.122,QSO
19.327,19.197,19.121,18.969,18.205,QSO
20.703,19.319,18.391,18.159,17.551,QSO
19.786,19.444,19.459,19.405,19.240,QSO
19.818,19.522,19.349,19.142,19.100,QSO
19.035,18.862,18.645,18.458,18.376,QSO
18.009,17.997,17.658,17.691,17.804,QSO
