@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
0.812661,0.777489,0.736011,0.331955,QSO
0.737911,0.573467,0.594931,0.167838,QSO
0.912329,0.814142,0.566236,0.433237,QSO
0.813953,0.639312,0.700622,0.313353,QSO
0.900701,0.676289,0.782401,0.449773,QSO
0.878368,0.758352,0.784792,0.379082,QSO
0.905131,0.746027,0.724055,0.308392,QSO
0.874123,0.655206,0.547107,0.380322,QSO
0.88206,0.783328,0.62219,0.394791,QSO
0.779808,0.68375,0.667623,0.288549,QSO
0.880952,0.722024,0.634146,0.289789,QSO
0.845146,0.658125,0.7011,0.408433,QSO
0.906792,0.780733,0.730751,0.27036,QSO
0.887597,0.713266,0.769967,0.378669,QSO
0.863972,0.663964,0.755141,0.379082,QSO
0.884275,0.757055,0.675275,0.364613,QSO
0.830011,0.745702,0.727881,0.373708,QSO
0.837209,0.633798,0.834051,0.455147,QSO
0.846438,0.675316,0.612626,0.241835,QSO
0.795312,0.787545,0.762793,0.300537,QSO
0.831118,0.739539,0.652319,0.358826,QSO
0.900886,0.669802,0.774749,0.431583,QSO
0.826135,0.687318,0.55428,0.188921,QSO
0.808786,0.791113,0.704926,0.308805,QSO
0.663344,0.542978,0.611191,0.147168,QSO
0.852898,0.556925,0.523673,0.346838,QSO
0.838501,0.742459,0.799139,0.34353,QSO
0.81543,0.761271,0.705882,0.274907,QSO
0.874862,0.700941,0.803922,0.418768,QSO
0.703212,0.456698,0.5055,0.285242,QSO
0.868032,0.727862,0.732664,0.272427,QSO
0.734404,0.701265,0.740794,0.36296,QSO
0.884459,0.745054,0.73362,0.305498,QSO
0.847361,0.807331,0.683883,0.371228,QSO
0.891288,0.725916,0.698709,0.364613,QSO
0.909192,0.671748,0.66571,0.197602,QSO
0.870801,0.765813,0.598278,0.353865,QSO
0.854374,0.637042,0.800096,0.466308,QSO
0.873016,0.728187,0.621712,0.410914,QSO
0.782946,0.745702,0.727881,0.329888,QSO
0.518642,0.228673,0.229077,0.149649,QSO
0.885197,0.758677,0.75275,0.349318,QSO
0.850683,0.783004,0.684362,0.326581,QSO
0.883167,0.6711,0.700622,0.374948,QSO
0.48265,0.724295,0.65758,0.415461,QSO
0.927649,0.665261,0.699665,0.374948,QSO
0.807309,0.628933,0.711621,0.376189,QSO
0.866556,0.687966,0.736968,0.405126,QSO
0.849022,0.690237,0.717838,0.379082,QSO
0.687154,0.733052,0.712099,0.352212,QSO
0.846438,0.838469,0.691535,0.437784,QSO
0.708749,0.551087,0.61406,0.15709,QSO
0.799188,0.730782,0.651841,0.38735,QSO
0.878922,0.759325,0.713056,0.351798,QSO
0.873385,0.78722,0.705404,0.324101,QSO
0.864341,0.785274,0.795791,0.348491,QSO
0.893872,0.818683,0.650885,0.322861,QSO
0.875231,0.804087,0.640842,0.400579,QSO
0.876523,0.747973,0.722621,0.405126,QSO
