@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Standardize-unset-class-temporarily

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
-0.554781,-0.493291,-1.023729,-1.366226,QSO
-1.534411,-2.728217,-2.639674,-3.109369,QSO
0.751393,-0.091786,-2.968341,-0.290482,QSO
-0.537849,-2.00693,-1.429085,-1.563811,QSO
0.599006,-1.601872,-0.492384,-0.11485,QSO
0.306327,-0.702927,-0.464995,-0.865676,QSO
0.657059,-0.837946,-1.160673,-1.616501,QSO
0.250693,-1.832826,-3.187452,-0.852503,QSO
0.354703,-0.429335,-2.32744,-0.698826,QSO
-0.985334,-1.520149,-1.807051,-1.827259,QSO
0.34019,-1.100879,-2.190496,-1.814086,QSO
-0.129065,-1.800847,-1.423607,-0.553929,QSO
0.678828,-0.45776,-1.083984,-2.020453,QSO
0.427269,-1.196813,-0.634807,-0.870066,QSO
0.117657,-1.736891,-0.804618,-0.865676,QSO
0.38373,-0.717139,-1.719407,-1.019353,QSO
-0.32741,-0.841499,-1.116851,-0.922756,QSO
-0.233075,-2.067333,0.099216,-0.05777,QSO
-0.112133,-1.612531,-2.436996,-2.323418,QSO
-0.782152,-0.383144,-0.716973,-1.699926,QSO
-0.312897,-0.909009,-1.98234,-1.080824,QSO
0.601425,-1.672934,-0.580029,-0.308045,QSO
-0.378205,-1.481065,-3.105285,-2.885439,QSO
-0.605576,-0.344059,-1.379785,-1.61211,QSO
-2.511623,-3.062213,-2.453429,-3.328909,QSO
-0.027473,-2.909428,-3.455863,-1.208157,QSO
-0.216143,-0.877031,-0.300662,-1.243283,QSO
-0.518498,-0.670948,-1.368829,-1.972155,QSO
0.260369,-1.331833,-0.245884,-0.44416,QSO
-1.989153,-4.007348,-3.664018,-1.862385,QSO
0.170872,-1.036922,-1.062073,-1.998499,QSO
-1.580369,-1.32828,-0.968951,-1.036916,QSO
0.386148,-0.848606,-1.051118,-1.647236,QSO
-0.100039,-0.166402,-1.620807,-0.949101,QSO
0.475645,-1.058241,-1.450996,-1.019353,QSO
0.710273,-1.651616,-1.828962,-2.793232,QSO
0.207154,-0.621204,-2.601329,-1.133514,QSO
-0.008123,-2.031802,-0.289707,0.060781,QSO
0.23618,-1.033369,-2.332918,-0.527585,QSO
-0.944214,-0.841499,-1.116851,-1.38818,QSO
-4.407994,-6.505207,-6.830175,-3.302564,QSO
0.395824,-0.699374,-0.832007,-1.181812,QSO
-0.056499,-0.432888,-1.615329,-1.423306,QSO
0.369216,-1.658722,-1.429085,-0.909583,QSO
-4.879668,-1.076007,-1.922085,-0.479286,QSO
0.952157,-1.722678,-1.44004,-0.909583,QSO
-0.624927,-2.12063,-1.303096,-0.896411,QSO
0.151521,-1.473958,-1.012773,-0.589056,QSO
-0.078269,-1.449086,-1.231885,-0.865676,QSO
-2.199592,-0.980072,-1.297618,-1.151077,QSO
-0.112133,0.174699,-1.533162,-0.242183,QSO
-1.916588,-2.973384,-2.420563,-3.22353,QSO
-0.731356,-1.004944,-1.987818,-0.77786,QSO
0.313583,-0.692267,-1.286662,-1.155468,QSO
0.241018,-0.386697,-1.374307,-1.449651,QSO
0.122495,-0.408016,-0.339007,-1.190594,QSO
0.509509,-0.042042,-1.998774,-1.462823,QSO
0.265206,-0.201934,-2.113807,-0.637354,QSO
0.282138,-0.816627,-1.177107,-0.589056,QSO
-0.600739,-0.916115,-0.903218,-1.629673,QSO
-6.410794,-6.117914,-6.309786,-1.370616,QSO
-0.835366,-1.207473,-1.58794,-1.713098,QSO
-0.022636,-0.635417,-1.719407,-1.190594,QSO
-0.281452,-0.507504,-1.812529,0.021264,QSO
0.482902,-0.692267,-0.815573,-2.78006,QSO
-0.436257,-0.575014,-1.741318,-0.812986,QSO
-0.312897,-1.413555,-2.502729,-1.83604,QSO
-0.20163,-0.592779,-2.069985,-2.218039,QSO
-7.687942,-5.695091,-1.976862,-1.177422,QSO
-0.985334,-1.875463,-0.771751,0.236413,QSO
-10.856623,-4.383981,-1.412651,-0.356344,QSO
