@relation C-train

@attribute C1 real
@attribute C2 real
@attribute C3 real
@attribute C4 real
@attribute C5 real
@attribute C6 real
@attribute C7 real
@attribute C8 real
@attribute C9 real
@attribute C10 real
@attribute C11 real
@attribute C12 real
@attribute C13 real
@attribute C14 real      
@attribute C15 real      
@attribute C16 real
@attribute C17 real
@attribute C18 real
@attribute C19 real
@attribute C20 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data     

14.10,0.70,7.40,5.40,5.40,4.00,1.30,5.40,8.70,6.70,3.40,1.30,4.00,1.30,3.40,8.70,6.70,8.10,1.30,2.70,1
12.50,0.70,8.30,2.10,4.20,6.90,1.40,5.60,10.40,9.00,2.10,6.90,1.40,4.20,2.80,4.20,4.20,9.00,1.40,2.80,1
19.00,0.70,4.90,5.60,7.00,11.30,1.40,1.40,7.00,6.30,3.50,4.20,2.10,3.50,0.70,8.50,4.20,4.90,2.80,0.70,1
20.40,0.70,4.10,2.00,2.70,13.60,3.40,5.40,8.20,7.50,3.40,2.00,2.00,4.80,2.00,6.80,0.70,6.80,1.40,2.00,1
11.00,0.00,3.90,9.10,3.90,7.10,7.10,5.80,12.30,12.30,1.90,1.30,2.60,3.20,2.60,3.90,3.20,5.20,1.30,1.90,1
12.50,0.00,6.60,3.70,10.30,8.10,2.90,6.60,7.40,4.40,2.90,3.70,3.70,2.90,2.20,6.60,6.60,6.60,0.70,1.50,1
13.70,0.00,3.90,9.20,4.60,4.60,3.30,5.90,9.20,9.20,0.70,3.90,3.30,2.60,0.70,5.90,5.20,11.10,2.00,1.30,1
10.30,1.40,4.80,5.50,5.50,8.90,6.20,0.00,7.50,12.30,0.70,4.10,4.80,2.10,2.10,3.40,4.80,12.30,1.40,2.10,1
15.60,0.70,5.70,1.40,6.40,9.20,2.80,4.30,7.80,10.60,2.10,2.80,4.30,4.30,0.70,4.30,5.00,7.10,1.40,3.50,1
7.50,2.00,7.50,10.90,5.40,2.70,4.80,2.70,9.50,8.20,2.00,4.10,4.10,3.40,6.10,2.00,6.80,3.40,2.00,4.80,1
12.10,0.00,5.70,4.50,4.50,4.50,3.20,4.50,6.40,10.80,3.80,3.20,1.90,7.00,5.10,7.60,5.10,7.00,1.30,1.90,1
14.80,1.20,4.90,3.70,3.70,8.00,0.60,4.90,4.90,8.00,1.20,4.30,3.70,3.10,3.70,9.90,7.40,4.90,0.60,6.20,1
