@relation H-train

@attribute H1 real
@attribute H2 real
@attribute H3 real
@attribute H4 real
@attribute H5 real
@attribute H6 real
@attribute H7 real
@attribute H8 real
@attribute H9 real
@attribute H10 real
@attribute H11 real
@attribute H12 real
@attribute H13 real
@attribute H14 real      
@attribute H15 real      
@attribute H16 real
@attribute H17 real
@attribute H18 real
@attribute H19 real
@attribute H20 real
@attribute H21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data

27.50,41.60,30.90,20.30,21.60,21.60,2.70,33.60,51.00,67.10,98.00,0.70,18.10,40.30,71.10,100.00,1.30,26.20,54.40,79.90,97.30,1
34.70,33.30,31.90,21.00,21.00,25.20,2.10,19.40,45.10,70.80,97.90,1.40,22.90,46.50,76.40,99.30,0.70,26.40,54.20,72.20,100.00,1
26.10,47.20,26.80,27.00,17.00,22.00,2.10,26.80,52.10,68.30,99.30,0.70,17.60,44.40,73.20,98.60,1.40,23.20,50.70,77.50,100.00,1
23.10,49.00,27.90,21.20,14.40,29.50,4.10,19.00,53.10,68.70,99.30,0.70,26.50,49.00,76.90,100.00,1.40,23.10,44.90,70.10,98.60,1
32.50,37.00,30.50,28.10,22.90,19.60,3.20,27.30,50.60,77.30,99.40,2.60,31.80,55.20,76.60,100.00,0.60,14.30,42.20,69.50,97.40,1
26.50,41.90,31.60,24.40,20.00,25.90,2.90,22.80,44.90,69.90,99.30,1.50,24.30,49.30,77.90,98.50,0.70,20.60,48.50,76.50,100.00,1
29.40,37.30,33.30,21.70,21.70,23.00,3.30,26.80,47.70,77.80,98.70,0.70,24.20,47.10,68.60,100.00,2.00,22.20,51.00,74.50,97.40,1
26.00,40.40,33.60,20.70,17.90,29.70,4.10,20.50,45.20,69.20,98.60,1.40,24.70,49.30,80.10,100.00,0.70,22.60,48.60,72.60,96.60,1
22.70,44.70,32.60,22.90,16.40,29.30,4.30,19.10,49.60,72.30,100.00,0.70,26.20,47.50,73.00,98.60,1.40,21.30,48.90,75.90,99.30,1
41.50,32.70,25.90,28.10,17.80,17.80,1.40,21.80,44.20,75.50,100.00,0.70,25.90,50.30,71.40,96.60,4.80,23.80,51.00,74.10,98.60,1
31.80,36.30,31.80,25.60,21.80,21.80,4.50,19.70,48.40,73.20,98.70,0.60,28.00,46.50,70.70,100.00,2.50,24.20,51.60,76.40,98.10,1
24.70,50.60,24.70,24.80,14.90,25.50,1.20,20.40,50.00,74.10,98.10,1.90,24.10,43.80,71.60,100.00,0.60,27.20,58.60,75.30,99.40,1
26.70,44.20,29.10,24.60,15.20,26.30,1.70,20.90,44.80,66.30,96.50,2.30,28.50,54.70,79.70,100.00,0.60,23.30,51.20,69.80,99.40,1
31.50,46.80,21.60,27.30,12.70,16.40,4.50,21.60,54.10,73.00,97.30,0.90,23.40,45.90,71.20,100.00,2.70,25.20,59.50,79.30,95.50,3
35.50,42.70,21.80,34.10,17.10,17.10,0.80,25.80,54.00,76.60,99.20,2.40,24.20,41.90,67.70,100.00,9.70,17.70,55.60,80.60,98.40,3
32.90,40.20,26.80,29.60,12.30,24.70,1.20,12.20,50.00,78.00,100.00,3.70,30.50,47.60,70.70,97.60,6.10,15.90,41.50,72.00,96.30,3
28.60,44.90,26.50,23.30,15.10,24.70,2.00,16.30,34.00,75.50,99.30,0.70,33.30,53.70,72.10,100.00,2.70,21.10,49.70,74.80,98.60,3
32.90,44.30,22.80,30.80,12.80,21.80,2.50,38.00,53.20,78.50,98.70,1.30,17.70,35.40,63.30,97.50,7.60,16.50,48.10,75.90,100.00,3
