@relation P-train

@attribute P1 real
@attribute P2 real
@attribute P3 real
@attribute P4 real
@attribute P5 real
@attribute P6 real
@attribute P7 real
@attribute P8 real
@attribute P9 real
@attribute P10 real
@attribute P11 real
@attribute P12 real
@attribute P13 real
@attribute P14 real      
@attribute P15 real      
@attribute P16 real
@attribute P17 real
@attribute P18 real
@attribute P19 real
@attribute P20 real
@attribute P21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data

33.60,37.60,28.90,21.60,23.60,19.60,1.30,25.50,54.40,79.90,100.00,0.70,16.80,39.60,71.10,99.30,2.70,33.60,51.00,69.80,98.00,1
34.70,29.20,36.10,24.50,23.10,20.30,0.70,26.40,52.10,72.20,100.00,2.80,21.50,45.80,76.40,99.30,2.10,20.80,46.50,70.80,97.90,1
27.50,45.10,27.50,23.40,17.00,25.50,1.40,23.20,50.70,78.90,100.00,0.70,17.60,44.40,73.20,98.60,2.10,26.10,52.10,68.30,99.30,1
29.90,43.50,26.50,30.10,16.40,19.20,1.40,23.80,47.60,72.10,98.60,0.70,25.20,45.60,76.90,100.00,4.10,19.70,53.10,68.70,99.30,1
32.50,27.90,39.60,15.70,29.40,28.10,0.60,18.80,44.80,70.10,98.70,2.60,26.00,52.60,78.60,100.00,3.20,27.30,51.30,74.00,99.40,1
33.10,37.50,29.40,25.90,20.00,27.40,0.70,20.60,48.50,76.50,100.00,1.50,23.50,47.10,77.90,98.50,2.90,27.20,50.00,69.90,99.30,1
34.60,32.70,32.70,21.10,25.00,22.40,2.00,23.50,51.00,74.50,97.40,0.70,24.20,48.40,68.60,100.00,3.30,22.90,47.70,75.80,98.70,1
35.60,32.20,32.20,24.80,25.50,22.10,0.70,23.30,51.40,75.30,99.30,2.70,19.90,43.80,73.30,97.30,1.40,26.70,52.70,71.20,100.00,1
36.20,38.30,25.50,27.90,20.70,18.60,1.40,22.00,46.80,73.80,99.30,0.70,27.00,56.70,79.40,98.60,4.30,19.10,49.60,72.30,100.00,1
30.60,23.10,46.30,14.40,26.70,21.90,4.80,25.90,49.70,73.50,98.60,0.70,18.40,49.00,72.10,96.60,1.40,22.40,46.30,75.50,100.00,1
33.80,31.20,35.00,21.20,25.00,23.70,2.50,24.80,51.60,74.50,98.10,0.60,22.90,42.70,70.10,100.00,4.50,19.70,48.40,73.20,99.40,1
30.90,43.80,25.30,24.80,16.80,23.00,0.60,36.40,59.90,76.50,99.40,1.90,21.60,39.50,69.80,100.00,1.20,20.40,50.00,74.10,98.10,1
32.60,40.70,26.70,27.50,16.40,23.40,0.60,23.80,51.70,69.80,99.40,2.30,27.90,54.70,79.70,100.00,1.70,20.90,44.80,66.30,96.50,1
27.00,39.60,33.30,16.40,16.40,25.50,2.70,36.00,60.40,74.80,95.50,0.90,18.00,44.10,71.20,100.00,4.50,23.40,42.30,72.10,97.30,3
25.80,36.30,37.90,16.30,21.10,31.70,9.70,32.30,57.30,80.60,98.40,2.40,22.60,39.50,66.90,100.00,0.80,19.40,54.00,76.60,99.20,3
28.00,37.80,34.10,24.70,14.80,29.60,6.10,15.90,36.60,72.00,96.30,3.70,30.50,48.80,73.20,97.60,1.20,19.50,50.00,78.00,100.00,3
31.30,37.40,31.30,24.00,18.50,22.60,2.70,25.90,52.40,73.50,98.60,0.70,32.00,55.10,72.80,100.00,2.00,17.70,34.70,75.50,99.30,3
29.10,35.40,35.40,24.40,17.90,30.80,7.60,16.50,51.90,77.20,100.00,1.30,19.00,35.40,63.30,97.50,2.50,34.20,50.60,78.50,98.70,3
30.00,42.50,27.50,22.80,20.30,24.10,7.50,36.20,50.00,71.20,97.50,2.50,21.20,37.50,68.80,100.00,1.20,18.80,52.50,81.20,98.80,3
28.70,30.90,40.40,19.40,25.80,22.60,5.30,25.50,51.10,75.50,95.70,1.10,13.80,45.70,73.40,97.90,2.10,23.40,46.80,69.10,100.00,3
25.90,22.20,51.90,13.20,26.40,20.80,11.10,25.90,59.30,79.60,100.00,3.70,9.30,22.20,63.00,96.30,1.90,29.60,50.00,74.10,98.10,4
27.30,26.00,46.80,13.20,23.70,21.10,2.60,16.90,50.60,74.00,97.40,6.50,19.50,55.80,66.20,96.10,1.30,26.00,45.50,79.20,100.00,4
30.50,20.30,49.20,13.80,29.30,22.40,1.70,22.00,44.10,61.00,84.70,5.10,27.10,49.20,67.80,100.00,3.40,20.30,50.80,79.70,98.30,4
31.10,18.00,50.80,10.00,26.70,15.00,13.10,26.20,54.10,73.80,96.70,9.80,11.50,31.10,44.30,100.00,1.60,18.00,49.20,83.60,98.40,4
32.00,28.00,40.00,24.50,20.40,14.30,8.00,32.00,58.00,74.00,98.00,2.00,26.00,60.00,70.00,88.00,4.00,16.00,34.00,48.00,100.00,4
30.20,27.90,41.90,16.70,26.20,23.80,14.00,27.90,44.20,69.80,90.70,2.30,41.90,51.20,72.10,97.70,4.70,11.60,37.20,67.40,100.00,4
32.70,18.20,49.10,13.00,33.30,16.70,1.80,12.70,40.00,61.80,98.20,9.10,10.90,43.60,56.40,94.50,7.30,23.60,58.20,80.00,100.00,4
26.00,26.00,48.00,16.30,22.40,24.50,8.00,24.00,46.00,60.00,100.00,4.00,10.00,48.00,64.00,90.00,2.00,20.00,44.00,78.00,98.00,4
27.80,33.30,38.90,18.30,22.50,23.90,1.40,19.40,48.60,77.80,95.80,4.20,31.90,50.00,70.80,90.30,2.80,22.20,47.20,72.20,100.00,4
33.80,29.40,36.80,23.90,22.40,29.90,2.90,19.10,55.90,76.50,100.00,4.40,20.60,36.80,66.20,95.60,1.50,23.50,47.10,70.60,94.10,4
27.00,39.20,33.80,19.20,24.70,26.00,6.80,36.50,58.10,71.60,97.30,1.40,16.20,35.10,75.70,98.60,2.70,25.70,45.90,62.20,100.00,4
35.80,23.60,40.60,18.10,27.60,15.20,3.80,22.60,47.20,68.90,97.20,0.90,8.50,36.80,67.00,91.50,9.40,29.20,50.90,78.30,100.00,4
31.90,25.00,43.10,14.70,35.70,23.10,2.80,17.40,43.80,71.50,97.20,0.70,27.80,50.00,72.90,100.00,1.40,25.70,50.70,76.40,97.90,7
28.80,33.60,37.70,17.20,24.10,28.30,0.70,18.50,52.10,73.30,100.00,3.40,30.10,46.60,69.20,99.30,1.40,20.50,47.30,74.00,98.60,7
22.60,29.20,48.10,8.60,31.40,28.60,2.80,16.00,54.70,67.90,99.10,0.90,29.20,43.40,74.50,94.30,1.90,19.80,48.10,76.40,100.00,7
22.80,44.10,33.10,20.60,15.90,36.50,5.50,17.30,38.60,64.60,97.60,1.60,29.10,52.80,75.60,93.70,0.80,16.50,52.00,78.70,100.00,7
35.40,23.00,41.60,19.60,27.70,20.50,1.80,17.70,44.20,77.00,100.00,0.90,14.20,45.10,62.80,98.20,5.30,34.50,52.20,73.50,99.10,7
33.10,36.40,30.50,20.30,24.20,21.60,1.30,17.50,45.50,74.00,98.70,0.60,20.80,53.20,77.90,100.00,5.80,26.60,47.40,70.80,94.20,7
31.80,35.10,33.10,27.50,23.50,21.60,2.60,29.90,49.40,77.30,99.40,0.60,14.30,43.50,64.30,98.10,3.20,26.60,53.20,79.90,100.00,7
37.10,35.80,27.00,27.80,24.10,16.50,1.30,25.20,47.80,71.70,99.40,0.60,30.20,54.10,76.70,100.00,2.50,16.40,44.00,71.10,98.70,9
36.60,29.10,34.30,22.80,28.10,19.30,2.30,27.90,55.20,75.00,100.00,1.20,22.10,40.70,64.00,99.40,0.60,23.30,51.20,75.60,98.80,9
