@relation 'S-train-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L7,16,27-V'

@attribute S1 numeric
@attribute S2 numeric
@attribute S3 numeric
@attribute S4 numeric
@attribute S5 numeric
@attribute S6 numeric
@attribute S7 numeric
@attribute S8 numeric
@attribute S9 numeric
@attribute S10 numeric
@attribute S11 numeric
@attribute S12 numeric
@attribute S13 numeric
@attribute S14 numeric
@attribute S15 numeric
@attribute S16 numeric
@attribute S17 numeric
@attribute S18 numeric
@attribute S19 numeric
@attribute S20 numeric
@attribute S21 numeric
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data
4.7,21.1,74.2,0,0.9,7.5,36.6,37.1,38.5,39.4,40.8,8,21.1,43.7,62,84,0.5,25.8,55.9,79.8,100,20
18.9,28.2,52.9,0.5,4.4,10.2,26.2,33,47.6,60.2,97.1,1.9,13.1,41.3,68.9,91.3,0.5,24.8,51.5,77.2,100,20
0,44.4,55.6,0,0,14.7,0,0,0,0,0,1.1,21.9,52.2,80.9,97.8,0.6,27,42.7,73.6,100,20
24.9,19.2,55.9,0,4.5,8,12.4,18.1,75.7,82.5,98.3,24.9,31.6,52,59.3,68.4,0.6,22,41.2,69.5,100,20
26.3,12.8,60.9,0,4.5,5.6,21.2,26.8,52.5,78.2,88.8,32.4,36.9,44.1,62,67,0.6,15.1,47.5,76,100,20
11.9,26.7,61.4,0,4,10,60.4,62.4,65.3,93.1,96,7.9,23.8,38.6,52.5,85.1,1,18.8,44.6,75.2,100,20
9.2,32.7,58.2,0,2.1,12.4,63.3,64.3,66.3,68.4,71.4,6.1,23.5,37.8,79.6,95.9,1,19.4,48,74.5,100,20
2.2,37.4,60.4,1.1,1.1,12.2,16.5,16.5,17.6,17.6,17.6,18.7,33,50.5,70.3,86.8,1.1,14.3,49.5,76.9,100,20
0,27.3,72.7,0,0,10.2,0,0,0,0,0,9.1,25.3,38.4,66.7,83.8,1,22.2,51.5,75.8,100,20
11.4,18.4,70.2,0.9,2.7,8,14,15.8,18.4,42.1,45.6,21.1,29.8,67.5,80.7,97.4,0.9,28.1,53.5,76.3,100,20
12.6,19.4,68,1,2.9,6.9,15.5,17.5,90.3,93.2,97.1,12.6,40.8,54.4,66,70.9,1,24.3,45.6,74.8,100,20
0,49.5,50.5,0,0,15.6,0,0,0,0,0,9.9,33,61.5,82.4,97.8,1.1,15.4,41.8,58.2,100,20
0,50,50,0,0,15.8,0,0,0,0,0,8.8,30.4,52,77.5,98,1,15.7,46.1,73.5,100,20
0,62.4,37.6,0,0,19,0,0,0,0,0,4.7,27.1,56.5,80,98.8,1.2,16.5,35.3,60,100,20
2.2,38.6,59.2,0,0.9,7.9,39.5,39.5,39.9,40.4,41.2,5.3,19.3,32.5,50.9,99.6,0.4,36,61,80.7,100,20
0,47,53,0,0,13.1,0,0,0,0,0,20,46,62,85,100,1,13,29,52,92,20
0,64.2,35.8,0,0,18.5,0,0,0,0,0,4.6,35.8,58.7,80.7,99.1,0.9,15.6,27.5,55,100,20
0,42.6,57.4,0,0,14,0,0,0,0,0,7.9,35.6,62.4,87.1,98,1,16.8,42.6,63.4,100,20
0,64.3,35.7,0,0,16.2,0,0,0,0,0,2.7,29.5,47.3,73.2,97.3,0.9,13.4,52.7,79.5,100,20
0,26.7,73.3,0,0,9.4,0,0,0,0,0,2.7,12,31.3,77.3,98,0.7,28.7,50,72,100,20
0,56,44,0,0,15.6,0,0,0,0,0,4.4,26.4,48.4,73.6,96.7,1.1,23.1,51.6,79.1,100,20
0,59.6,40.4,0,0,15.9,0,0,0,0,0,5.6,24.7,55.1,80.9,98.9,1.1,16.9,43.8,60.7,100,20
0,63,37,0,0,14.1,0,0,0,0,0,10,35,57,81,99,1,9,32,60,100,20
6.7,16.7,76.7,0,2.2,9,40,40,42.2,43.3,45.6,14.4,16.7,35.6,71.1,90,1.1,23.3,52.2,75.6,100,20
18.9,14.2,67,1,2.9,6.7,36.8,40.6,45.3,71.7,76.4,22.6,24.5,78.3,91.5,96.2,0.9,16,50.9,67.9,100,20
18.4,16.3,65.3,0,2.1,6.2,57.1,60.2,65.3,69.4,74.5,4.1,7.1,30.6,34.7,51,1,22.4,45.9,83.7,100,20
21.8,7.6,70.6,0,3.4,5.1,24.4,28.6,84.9,89.9,95.8,15.1,16,55.5,57.1,73.1,0.8,20.2,46.2,66.4,100,20
8.9,48.1,43,0,2.2,11.9,0.7,2.2,4.4,64.4,66.7,9.6,23.7,48.9,73.3,97.8,5.9,30.4,51.1,77,100,20
6.1,32.3,61.6,0,2,8.2,35.4,35.4,37.4,38.4,40.4,7.1,23.2,64.6,79.8,87.9,1,20.2,49.5,73.7,100,20
3.3,33.6,63.1,0,0.9,13.1,48.1,48.1,49.1,50,50.9,1.9,22.4,43.9,76.6,92.1,0.5,26.2,52.8,74.8,100,20
30,17.8,52.2,0,5.2,8.4,14.1,33.2,62.7,76.2,91.6,4.4,24.5,37.3,52,93.7,0.3,16.7,46.2,77.8,100,46
15.6,18.7,65.7,0.6,4,8.5,1.1,29.5,69.4,76.8,89.5,3.1,24.6,42.8,70,93.2,0.3,22.1,49.9,74.8,100,46
23.4,14.7,61.9,0.2,3.7,5.7,5.2,21.9,47,79.4,99.8,3,16.2,25.4,57.5,84.6,0.2,29.1,55,76.4,100,46
33.9,8.7,57.4,0.3,5.9,3.7,7.3,28,58.3,79.6,99.4,5.3,15.7,52.7,80.1,93,0.3,22.1,42,70.3,100,46
24.3,11.3,64.5,1.2,4.1,4.1,12.7,25.7,58.7,74.6,98.3,24.3,50.9,58.1,81.8,90.5,0.3,17.9,41,71.1,100,46
34.5,10.6,54.9,0.2,5.1,3.9,5.7,23.1,52.7,72.9,95.9,2,16.7,26.5,59.6,84.5,0.2,27.8,50,81.2,100,46
35,18.6,46.4,0,6.6,7.2,4.9,21.9,48,67.6,84,0.7,27.8,41.8,74.8,96.1,0.3,27.5,57.5,84.6,100,46
31.3,13.9,54.8,0.3,5.5,6.1,8.4,29.3,49.3,68.1,99.1,3.5,22.9,43.2,71.9,91.6,0.3,25.5,52.2,76.2,100,46
34.9,21.5,43.6,0,5.6,6.2,22.5,38.8,60.9,80.6,99.7,1.4,13.8,28.7,56.7,90.3,0.3,19.7,46,69.2,100,46
26.3,22.8,50.9,0,3.5,7.7,21.1,27,41.4,81.4,94.7,2.5,14.7,29.8,67,96.8,0.4,31.6,59.3,73.3,100,46
28.8,14.6,56.6,0,5.2,4.2,25.2,40.5,55.3,70.9,96.4,8.7,18.4,46,74.4,100,0.3,16.2,37.5,75.7,98.4,46
