@relation S-train

@attribute S1 real
@attribute S2 real
@attribute S3 real
@attribute S4 real
@attribute S5 real
@attribute S6 real
@attribute S7 real
@attribute S8 real
@attribute S9 real
@attribute S10 real
@attribute S11 real
@attribute S12 real
@attribute S13 real
@attribute S14 real      
@attribute S15 real      
@attribute S16 real
@attribute S17 real
@attribute S18 real
@attribute S19 real
@attribute S20 real
@attribute S21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data

69.80,0.00,30.20,0.00,8.10,0.00,8.70,25.50,54.40,78.50,98.70,0.00,0.00,0.00,0.00,0.00,0.70,7.40,36.20,73.20,100.00,1
75.70,0.00,24.30,0.00,9.10,0.00,0.70,21.50,54.20,77.80,99.30,0.00,0.00,0.00,0.00,0.00,5.60,31.20,37.50,57.60,100.00,1
72.50,0.00,27.50,0.00,8.50,0.00,2.80,19.70,50.00,73.90,97.20,0.00,0.00,0.00,0.00,0.00,0.70,33.10,40.10,82.40,100.00,1
74.80,0.00,25.20,0.00,9.60,0.00,2.70,23.80,48.30,76.90,99.30,0.00,0.00,0.00,0.00,0.00,0.70,25.90,50.30,67.30,100.00,1
72.10,0.00,27.90,0.00,10.50,0.00,4.50,24.70,46.10,72.10,98.10,0.00,0.00,0.00,0.00,0.00,0.60,16.90,54.50,79.20,100.00,1
75.00,0.00,25.00,0.00,11.90,0.00,2.20,23.50,50.70,75.00,98.50,0.00,0.00,0.00,0.00,0.00,0.70,27.20,37.50,67.60,100.00,1
71.20,0.00,28.80,0.00,7.90,0.00,3.30,20.90,52.30,77.80,99.30,0.00,0.00,0.00,0.00,0.00,0.70,27.50,34.60,66.00,100.00,1
22.60,9.60,67.80,0.70,3.40,3.40,4.10,8.90,74.00,91.80,97.90,45.90,47.30,59.60,76.00,78.80,0.70,23.30,40.40,62.30,100.00,1
71.60,0.00,28.40,0.00,8.60,0.00,2.80,22.00,55.30,78.00,98.60,0.00,0.00,0.00,0.00,0.00,0.70,28.40,35.50,56.70,100.00,1
72.80,0.00,27.20,0.00,9.60,0.00,1.40,24.50,53.70,78.20,99.30,0.00,0.00,0.00,0.00,0.00,0.70,13.60,32.00,68.00,100.00,1
70.10,0.00,29.90,0.00,10.30,0.00,8.90,26.80,51.60,73.90,95.50,0.00,0.00,0.00,0.00,0.00,0.60,7.00,37.60,82.80,100.00,1
77.20,0.00,22.80,0.00,8.70,0.00,2.50,24.70,53.10,75.30,99.40,0.00,0.00,0.00,0.00,0.00,0.60,12.30,43.80,69.10,100.00,1
76.70,0.00,23.30,0.00,9.40,0.00,2.30,23.80,51.20,75.00,99.40,0.00,0.00,0.00,0.00,0.00,0.60,36.60,42.40,71.50,100.00,1
18.00,4.50,77.50,0.00,3.60,1.80,12.60,16.20,88.30,92.80,97.30,57.70,57.70,58.60,59.50,61.30,0.90,26.10,45.90,69.40,100.00,3
25.00,14.50,60.50,0.00,4.90,6.50,5.60,50.00,84.70,91.10,97.60,13.70,16.10,35.50,62.10,71.00,0.80,24.20,42.70,64.50,100.00,3
48.80,0.00,51.20,0.00,9.90,0.00,3.70,34.10,52.40,85.40,97.60,0.00,0.00,0.00,0.00,0.00,1.20,22.00,45.10,70.70,100.00,3
35.40,0.00,64.60,0.00,6.80,0.00,17.70,32.70,60.50,78.90,95.90,0.00,0.00,0.00,0.00,0.00,0.70,15.60,46.90,70.10,100.00,3
