@relation V-train

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real      
@attribute V15 real      
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V19 real
@attribute V20 real
@attribute V21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data

45.60,28.20,26.20,23.00,18.20,16.20,0.70,19.50,45.00,72.50,99.30,1.30,24.80,52.30,76.50,97.30,10.70,28.20,49.00,71.80,100.00,1
38.20,36.80,25.00,32.90,18.90,16.10,2.10,18.10,43.10,73.60,99.30,0.70,29.90,53.50,72.20,100.00,1.40,24.30,46.50,75.70,93.80,1
50.70,26.10,23.20,29.10,25.50,9.20,0.70,21.80,45.80,73.20,99.30,1.40,32.40,53.50,73.90,97.90,4.90,23.20,43.00,69.70,100.00,1
48.30,28.60,23.10,32.90,17.80,13.70,0.70,20.40,43.50,76.90,100.00,1.40,21.80,47.60,70.70,99.30,4.80,25.90,57.10,69.40,91.20,1
31.80,37.00,31.20,30.70,17.00,21.60,2.60,26.00,48.70,78.60,100.00,1.30,18.80,44.80,70.10,99.40,0.60,28.60,51.90,76.00,98.70,1
44.10,27.90,27.90,24.40,30.40,11.90,1.50,22.80,47.10,77.90,98.50,0.70,17.60,46.30,59.60,97.10,9.60,27.90,61.00,79.40,100.00,1
36.60,41.80,21.60,27.00,16.40,16.40,0.70,25.50,52.90,73.90,100.00,2.00,23.50,50.30,74.50,96.70,7.80,19.00,44.40,72.50,97.40,1
38.40,36.30,25.30,29.70,20.00,17.90,2.70,26.00,47.90,68.50,97.30,0.70,19.20,51.40,74.00,96.60,1.40,28.10,48.60,79.50,100.00,1
44.70,30.50,24.80,27.90,17.10,12.10,0.70,25.50,54.60,79.40,98.60,1.40,16.30,48.90,75.90,97.20,5.70,22.70,39.70,68.80,100.00,1
32.70,32.70,34.70,20.50,25.30,21.90,0.70,19.70,49.70,71.40,96.60,1.40,24.50,47.60,78.20,99.30,2.00,23.80,50.30,76.20,100.00,1
36.90,36.90,26.10,24.40,21.80,21.80,0.60,23.60,47.10,70.70,100.00,2.50,24.20,54.80,76.40,98.10,10.80,21.70,43.30,72.60,99.40,1
50.00,29.00,21.00,34.20,19.90,10.60,1.90,22.80,43.80,69.80,100.00,3.10,27.20,58.60,80.20,99.40,0.60,19.80,51.20,74.10,96.30,1
50.00,31.40,18.60,33.90,17.00,10.50,1.70,26.70,55.80,79.70,100.00,1.20,23.30,41.90,66.90,99.40,0.60,22.10,48.80,68.00,96.50,1
45.00,27.90,27.00,21.80,25.50,18.20,0.90,19.80,44.10,66.70,100.00,4.50,32.40,59.50,74.80,97.30,2.70,23.40,55.00,73.90,96.40,3
44.40,29.00,26.60,20.30,26.00,16.30,2.40,20.20,39.50,66.90,100.00,0.80,17.70,50.80,71.80,98.40,8.10,43.50,61.30,79.80,99.20,3
46.30,32.90,20.70,42.00,14.80,13.60,2.40,24.40,47.60,73.20,97.60,1.20,15.90,53.70,78.00,98.80,8.50,19.50,34.10,59.80,100.00,3
46.30,29.90,23.80,24.00,22.60,15.80,0.70,29.30,53.70,74.10,100.00,2.00,21.80,34.00,63.30,99.30,2.70,21.10,53.10,79.60,98.60,3
45.60,21.50,32.90,16.70,30.80,15.40,1.30,16.50,35.40,63.30,97.50,7.60,31.60,46.80,74.70,100.00,8.90,34.20,55.70,79.70,98.70,3
47.50,27.50,25.00,24.10,22.80,17.70,2.50,20.00,37.50,68.80,100.00,1.20,12.50,47.50,61.20,98.80,7.50,43.80,67.50,85.00,97.50,3
41.50,27.70,30.90,18.30,28.00,19.40,1.10,13.80,39.40,73.40,97.90,3.20,28.70,52.10,77.70,100.00,2.10,24.50,54.30,69.10,95.70,3
22.20,44.40,33.30,18.90,15.10,28.30,3.70,9.30,22.20,63.00,96.30,16.70,35.20,57.40,74.10,100.00,1.90,24.10,42.60,81.50,98.10,4
28.60,42.90,28.60,30.30,9.20,25.00,6.50,19.50,50.60,63.60,96.10,11.70,27.30,45.50,71.40,94.80,1.30,16.90,46.80,85.70,100.00,4
22.00,40.70,37.30,15.50,20.70,25.90,5.10,27.10,47.50,66.10,100.00,15.30,25.40,54.20,74.60,96.60,1.70,10.20,44.10,79.70,98.30,4
19.70,45.90,34.40,18.30,10.00,28.30,9.80,16.40,36.10,45.90,100.00,13.10,34.40,54.10,72.10,98.40,1.60,8.20,41.00,78.70,95.10,4
28.00,40.00,32.00,20.40,18.40,18.40,2.00,26.00,60.00,70.00,88.00,8.00,20.00,34.00,56.00,100.00,4.00,28.00,58.00,80.00,98.00,4
32.60,37.20,30.20,23.80,21.40,16.70,2.30,20.90,48.80,62.80,97.70,14.00,30.20,55.80,88.40,100.00,4.70,9.30,32.60,60.50,86.00,4
21.80,38.20,40.00,14.80,22.20,33.30,9.10,14.50,43.60,65.50,94.50,3.60,23.60,36.40,74.50,98.20,1.80,25.50,49.10,72.70,100.00,4
30.00,34.00,36.00,24.50,20.40,22.40,4.00,10.00,48.00,68.00,90.00,12.00,22.00,42.00,60.00,100.00,2.00,26.00,46.00,82.00,98.00,4
36.10,40.30,23.60,25.40,22.50,15.50,4.20,27.80,44.40,68.10,90.30,5.60,20.80,56.90,79.20,100.00,1.40,16.70,38.90,63.90,93.10,4
36.80,44.10,19.10,28.40,20.90,14.90,1.50,20.60,35.30,61.80,95.60,2.90,19.10,54.40,77.90,100.00,7.40,29.40,42.60,70.60,94.10,4
40.50,29.70,29.70,23.30,21.90,23.30,1.40,16.20,44.60,75.70,98.60,9.50,33.80,58.10,70.30,97.30,2.70,23.00,45.90,67.60,100.00,4
32.10,35.80,32.10,21.00,20.00,21.00,0.90,16.00,36.80,69.80,95.30,3.80,29.20,45.30,68.90,97.20,6.60,31.10,60.40,82.10,100.00,4
30.60,44.40,25.00,28.00,14.00,21.00,0.70,29.90,54.20,74.30,100.00,1.40,20.80,43.80,70.10,97.90,2.10,27.10,50.70,81.90,97.20,7
