@relation InstanceResultListener

@attribute Key_Dataset {iris}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes'}
@attribute Key_Scheme_version_ID {-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

iris,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,11,4,0,73.333333,26.666667,0,0.6,0.153761,0.364575,34.5963,77.338054,23.774438,12.359269,11.415169,1.584963,0.823951,0.761011,15.948067,1.063204,1006.211019,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.733333,0.133333,0.866667,0.266667,0.746032,0.733333,0.722222,0.60867,0.96,0.933889,0.722222,0.733333,0.001,0,0,0,0,0,5127,10633,2353,93.333333,40,?
iris,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,15,0,0,100,0,0,1,0.003083,0.008981,0.693592,1.905124,23.774438,0.1014,23.673037,1.584963,0.00676,1.578202,23.673037,1.578202,1493.60236,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5127,10633,2353,100,33.333333,?
iris,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,10,5,0,66.666667,33.333333,0,0.5,0.213225,0.452719,47.975584,96.036261,23.774438,64.121386,-40.346948,1.584963,4.274759,-2.689797,13.230428,0.882029,834.747057,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.666667,0.166667,0.833333,0.333333,0.666667,0.666667,0.6633,0.500625,0.866667,0.796799,0.6633,0.666667,0,0,0,0,0,0,5127,10633,2353,80,37.777778,?
iris,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,15,0,0,100,0,0,1,0.000706,0.002377,0.158788,0.504321,23.774438,0.023001,23.751437,1.584963,0.001533,1.583429,23.751437,1.583429,1498.548824,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5127,10633,2353,100,33.333333,?
iris,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,15,0,0,100,0,0,1,0.007943,0.03737,1.787111,7.927312,23.774438,0.283585,23.490853,1.584963,0.018906,1.566057,23.490853,1.566057,1482.107794,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5127,10633,2353,100,35.555556,?
iris,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,15,0,0,100,0,0,1,0.030253,0.091709,6.806944,19.454391,23.774438,1.158755,22.615682,1.584963,0.07725,1.507712,22.615682,1.507712,1426.890697,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.001,0,0,0,0,5127,10633,2353,100,40,?
iris,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,12,3,0,80,20,0,0.7,0.111398,0.310849,25.06457,65.941036,23.774438,38.179668,-14.40523,1.584963,2.545311,-0.960349,18.38933,1.225955,1160.237532,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.8,0.1,0.9,0.2,0.805556,0.8,0.79798,0.703451,0.96,0.935238,0.79798,0.8,0,0,0,0,0,0,5127,10633,2353,93.333333,37.777778,?
iris,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,14,1,0,93.333333,6.666667,0,0.9,0.114609,0.268376,25.787026,56.931183,23.774438,11.451577,12.322861,1.584963,0.763438,0.821524,18.681789,1.245453,1178.689657,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.973333,0.956508,0.93266,0.933333,0,0.001,0,0,0,0,5127,10633,2353,93.333333,42.222222,?
iris,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,12,3,0,80,20,0,0.7,0.128218,0.315297,28.849084,66.884491,23.774438,11.955195,11.819243,1.584963,0.797013,0.78795,17.47949,1.165299,1102.83302,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.8,0.1,0.9,0.2,0.875,0.8,0.78022,0.738713,0.986667,0.977778,0.78022,0.8,0,0,0,0,0,0,5127,10633,2353,93.333333,40,?
iris,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,15,0,0,100,0,0,1,0.024733,0.089614,5.564961,19.0101,23.774438,0.98141,22.793027,1.584963,0.065427,1.519535,22.793027,1.519535,1438.079892,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5127,10633,2353,100,37.777778,?
iris,2,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,12,3,0,80,20,0,0.7,0.103384,0.288419,23.261462,61.182821,23.774438,9.093161,14.681277,1.584963,0.606211,0.978752,18.526364,1.235091,1168.883405,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.8,0.1,0.9,0.2,0.805556,0.8,0.79798,0.703451,0.973333,0.956508,0.79798,0.8,0,0.001,0,0,0,0,5127,10633,2353,93.333333,37.777778,?
iris,2,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,13,2,0,86.666667,13.333333,0,0.8,0.12539,0.311732,28.212816,66.128354,23.774438,14.84332,8.931118,1.584963,0.989555,0.595408,17.926539,1.195103,1131.038653,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.973333,0.956508,0.861111,0.866667,0,0,0,0,0,0,5127,10633,2353,93.333333,42.222222,?
iris,2,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,14,1,0,93.333333,6.666667,0,0.9,0.039588,0.18611,8.907339,39.479997,23.774438,3.104156,20.670281,1.584963,0.206944,1.378019,21.772881,1.451525,1373.715815,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.001,0,0,0,0,0,5127,10633,2353,100,35.555556,?
iris,2,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20180802.0926,135,15,15,0,0,100,0,0,1,0.000043,0.000195,0.009696,0.041313,23.774438,0.001399,23.773038,1.584963,0.000093,1.584869,23.773038,1.584869,1499.911708,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5127,10633,2353,100,33.333333,?
