@relation InstanceResultListener

@attribute Key_Dataset {iris}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2'}
@attribute Key_Scheme_version_ID {-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

iris,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,12,3,0,80,20,0,0.7,0.133333,0.365148,30,77.459667,23.774438,3222,-3198.225562,1.584963,214.8,-213.215037,17.264663,1.150978,1089.278926,0.4,2,0,0,1,10,0.6,3,1,0.4,0.571429,0.5547,0.7,0.6,0.8,0.1,0.9,0.2,0.875,0.8,0.78022,0.738713,0.85,0.741667,0.78022,0.8,0.026,0,0,0,0,0,5991,10633,2353,80,33.333333,?
iris,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,15,0,0,100,0,0,1,0,0,0,0,23.774438,0,23.774438,1.584963,0,1.584963,23.774438,1.584963,1500,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,5991,10633,2353,100,33.333333,?
iris,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,13,2,0,86.666667,13.333333,0,0.8,0.133333,0.28906,30,61.318839,23.774438,2149.60964,-2125.835203,1.584963,143.307309,-141.722347,17.824947,1.18833,1124.628944,0.6,3,0,0,1,10,0.4,2,1,0.6,0.75,0.707107,0.8,0.733333,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.9,0.815873,0.861111,0.866667,0.001,0,0,0,0,0,5991,10633,2353,86.666667,48.888889,?
iris,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,15,0,0,100,0,0,1,0,0,0,0,23.774438,0,23.774438,1.584963,0,1.584963,23.774438,1.584963,1500,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5991,10633,2353,100,33.333333,?
iris,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,14,1,0,93.333333,6.666667,0,0.9,0.044444,0.210819,10,44.72136,23.774438,1074,-1050.225562,1.584963,71.6,-70.015037,21.604513,1.440301,1363.092975,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0.001,0,0,0,0,0,5991,10633,2353,93.333333,33.333333,?
iris,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,14,1,0,93.333333,6.666667,0,0.9,0.044444,0.210819,10,44.72136,23.774438,1074,-1050.225562,1.584963,71.6,-70.015037,21.604513,1.440301,1363.092975,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0.001,0,0,0,0,0,5991,10633,2353,93.333333,33.333333,?
iris,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,12,3,0,80,20,0,0.7,0.133333,0.365148,30,77.459667,23.774438,3222,-3198.225562,1.584963,214.8,-213.215037,17.264663,1.150978,1089.278926,0.8,4,0,0,1,10,0.2,1,1,0.8,0.888889,0.852803,0.9,0.866667,0.8,0.1,0.9,0.2,0.822222,0.8,0.805387,0.710051,0.85,0.724444,0.805387,0.8,0.001,0,0,0,0,0,5991,10633,2353,80,33.333333,?
iris,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,11,4,0,73.333333,26.666667,0,0.6,0.177778,0.421637,40,89.442719,23.774438,4296,-4272.225562,1.584963,286.4,-284.815037,15.094738,1.006316,952.371901,0.6,3,0,0,1,10,0.4,2,1,0.6,0.75,0.707107,0.8,0.733333,0.733333,0.133333,0.866667,0.266667,0.790476,0.733333,0.738889,0.626521,0.8,0.654603,0.738889,0.733333,0,0.001,0,0,0,0,5991,10633,2353,73.333333,33.333333,?
iris,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,11,4,0,73.333333,26.666667,0,0.6,0.177778,0.421637,40,89.442719,23.774438,4296,-4272.225562,1.584963,286.4,-284.815037,15.094738,1.006316,952.371901,0.4,2,0,0,1,10,0.6,3,1,0.4,0.571429,0.5547,0.7,0.6,0.733333,0.133333,0.866667,0.266667,0.851852,0.733333,0.724868,0.661618,0.8,0.674074,0.724868,0.733333,0.001,0,0,0,0,0,5991,10633,2353,73.333333,33.333333,?
iris,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,12,3,0,80,20,0,0.7,0.151111,0.306956,34,65.115282,23.774438,8.575425,15.199013,1.584963,0.571695,1.013268,16.620806,1.108054,1048.656123,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.8,0.1,0.9,0.2,0.875,0.8,0.78022,0.738713,0.9,0.775,0.78022,0.8,0.001,0,0,0,0,0,5991,10633,2353,100,51.111111,?
iris,2,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,15,0,0,100,0,0,1,0.044444,0.094281,10,20,23.774438,1.60964,22.164797,1.584963,0.107309,1.477653,22.164797,1.477653,1398.442993,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,5991,10633,2353,100,44.444444,?
iris,2,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.trees.J48 -- -U -M 2',-4523450618538717400,20180802.1009,135,15,12,3,0,80,20,0,0.7,0.133333,0.365148,30,77.459667,23.774438,3222,-3198.225562,1.584963,214.8,-213.215037,17.264663,1.150978,1089.278926,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.8,0.1,0.9,0.2,0.875,0.8,0.78022,0.738713,0.85,0.741667,0.78022,0.8,0.001,0,0.015625,0,15.625,0,5991,10633,2353,80,33.333333,?
